FFIN,First Financial Bankshares,Financials
FHI,Federated Hermes,Financials
FHN,First Horizon,Financials
FIX,Comfort Systems USA,Industrials
FLO,Flowers Foods,Consumer Staples
FLS,Flowserve,Industrials
FNB,FNB Corporation,Financials
FR,First Industrial Realty Trust,Real Estate
GAP,Gap Inc.,Consumer Discretionary
GATX,GATX,Industrials
GBCI,Glacier Bancorp,Financials
GEF,Greif Inc.,Materials
GGG,Graco,Industrials
GHC,Graham Holdings,Consumer Discretionary
GNTX,Gentex,Consumer Discretionary
GPK,Graphic Packaging,Materials
GT,Goodyear Tire & Rubber,Consumer Discretionary
HAE,Haemonetics,Health Care
HOG,Harley-Davidson,Consumer Discretionary
HR,Healthcare Realty Trust,Real Estate
HRB,H&R Block,Consumer Discretionary
HXL,Hexcel,Industrials
IBOC,Intl Bancshares Corp,Financials
IDA,Idacorp,Utilities
INGR,Ingredion,Consumer Staples
ITT,ITT,Industrials
JEF,Jefferies,Financials
JLL,Jones Lang LaSalle,Real Estate
JWN,Nordstrom,Consumer Discretionary
KBH,KB Home,Consumer Discretionary
KEX,Kirby,Industrials
KMPR,Kemper,Financials
KNX,Knight-Swift,Industrials
KRC,Kilroy Realty Corp,Real Estate
LAD,Lithia Motors,Consumer Discretionary
LAMR,Lamar Advertising Company,Real Estate
LANC,Lancaster Colony Corp,Consumer Staples
LECO,Lincoln Electric,Industrials
LFUS,Littelfuse,Information Technology
LII,Lennox International,Industrials
LNW,Light & Wonder,Consumer Discretionary
LPX,Louisiana-Pacific,Materials
LSCC,Lattice Semiconductor,Information Technology
LSTR,Landstar System,Industrials
M,Macy's,Consumer Discretionary
MAN,ManpowerGroup,Industrials
MANH,Manhattan Associates,Information Technology
MAT,Mattel,Consumer Discretionary
MIDD,Middleby,Industrials
MKSI,MKS Instruments,Information Technology
MMS,Maximus Inc.,Industrials
MSA,MSA Safety,Industrials
MSM,MSC Industrial Direct,
MTG,MGIC Investment Corporation,Financials
MTN,Vail Resorts,Consumer Discretionary
MTZ,MasTec,Industrials
MUR,Murphy Oil,Energy
NBIX,Neurocrine Biosciences,Health Care
NEOG,Neogen,Health Care
NEU,NewMarket Corporation,Materials
NFG,National Fuel Gas,Utilities
NJR,New Jersey Resources,Utilities
NLY,Annaly Capital Management,Financials
NNN,NNN Reit,Real Estate
NOV,Nov,Energy
NSP,Insperity,Industrials
FLG,Flagstar Financial Inc,Financials
NYT,New York Times Company,Communication Services
OGE,OGE Energy,Utilities
OHI,Omega Healthcare Investors,Real Estate
OLED,Universal Display,Information Technology
OLN,Olin,Materials
ONB,Old National Bank,Financials
ONTO,Onto Innovation,Information Technology
OPCH,Option Care Health,Health Care
ORI,Old Republic International,Financials
OSK,Oshkosh,Industrials
PAG,Penske Automotive Group,Consumer Discretionary
PB,Prosperity Bancshares,Financials
PCH,PotlatchDeltic,Real Estate
PII,Polaris,Consumer Discretionary
TXNM,TXNM Energy,Utilities
POWI,Power Integrations,Information Technology
PPC,Pilgrim's Pride,Consumer Staples
PRGO,Perrigo,Health Care
PVH,PVH,Consumer Discretionary
R,Ryder,Industrials
RBA,RB Global,Industrials
RGEN,Repligen,Health Care
RGLD,Royal Gold,Materials
RLI,RLI,Financials
RMBS,Rambus,Information Technology
RNR,RenaissanceRe,Financials
RPM,RPM International,Materials
RRC,Range Resources,Energy
RRX,Regal Rexnord,Industrials
RS,Reliance Steel & Aluminum Co.,Materials
RYN,Rayonier,Real Estate
SAM,Boston Beer Company,Consumer Staples
SCI,Service Corp Intl,Consumer Discretionary
SEIC,SEI,Financials
SF,Stifel,Financials
SIGI,Selective Insurance Group,Financials
SKX,Skechers,Consumer Discretionary
SLGN,Silgan Holdings,Materials
SLM,SLM Corp,Financials
SMG,Scotts Miracle-Gro Company,Materials
SNV,Synovus,Financials
SON,Sonoco,Materials
SR,Spire,Utilities
SRPT,Sarepta Therapeutics,Health Care
SSB,South State Bank,Financials
SSD,Simpson Manufacturing,Industrials
SWX,Southwest Gas Corp,Utilities
TEX,Terex,Industrials
THC,Tenet Health,Health Care
THG,Hanover Insurance,Financials
THO,Thor Industries,Consumer Discretionary
TKR,Timken,Industrials
TOL,Toll Brothers,Consumer Discretionary
TPL,Texas Pacific Land,Energy
TREX,Trex,Industrials
TTC,Toro,Industrials
TTEK,Tetra Tech,Industrials
UBSI,United Bankshares,Financials
UFPI,UFP Industries,Industrials
UGI,UGI Corp,Utilities
UMBF,UMB Financial Corp.,Financials
UNM,Unum,Financials
UTHR,United Therapeutics,Health Care
VAL,Valaris,Energy
VLY,Valley Bank,Financials
VMI,Valmont,Industrials
VNO,Vornado Realty Trust,Real Estate
VSH,Vishay,Information Technology
WBS,Webster Bank,Financials
WCC,WESCO International,Industrials
WEN,Wendy's,Consumer Discretionary
WHR,Whirlpool,Consumer Discretionary
WPC,W. P. Carey,Real Estate
WSM,Williams-Sonoma,Consumer Discretionary
WSO,Watsco,Industrials
WTFC,Wintrust,Financials
WTRG,Essential Utilities,Utilities
WTS,Watts Water Technologies,Industrials
WWD,Woodward,Industrials
X,U.S. Steel,Materials
XRAY,Dentsply Sirona,Health Care
ZION,Zions Bancorporation,Financials
